machineId,lat,lng,topbrand,total
ZPL3011112,42.2693995,-71.0237491,fanta,3568.852
ZPL301112X,32.536202,-93.770538,drpepper,3787.108
ZPL302687L,33.95211,-83.9879374,fanta,3800.337
ZPL302690D,33.907491,-84.358892,coke,0
ZPL3026918,33.7526245,-84.4671251,fanta,4212.418
ZPL3026923,33.884265,-84.514944,fanta,2366.973
ZPL302693Y,33.6277856,-117.7161983,coke,0
ZPL302694T,33.882751,-84.477274,fanta,2711.371
ZPL302697E,33.945546,-84.624745,fanta,1735.977
ZPL302700R,33.6277856,-117.7161983,coke,0
ZPL302706X,33.9191386,-84.3796418,fanta,2231.685
ZPL302711F,33.7816013,-84.4050155,fanta,2795.303
ZPL302716Q,33.9262618,-84.3790809,coke,0
ZPL302718G,33.9262618,-84.3790809,coke,0
ZPL302719B,33.9191386,-84.3796418,coke,0
ZPL3027218,33.8798535,-84.4619992,coke,0
ZPL3027223,33.8149967,-84.3913456,coke,0
ZPL302726J,34.0011248,-84.0823039,coke,0
ZPL302727E,33.993509,-117.913238,coke,0
ZPL3027306,40.5817926,-111.8907444,dietcoke,6519.955
ZPL302734M,40.5817926,-111.8907444,fanta,3390.026
ZPL3027382,33.6716059,-117.8349281,fanta,2464.586
ZPL302740Z,32.6808652,-97.416246,drpepper,4335.706
ZPL302742P,33.8225943,-84.3705695,coke,0
ZPL302743K,32.5926342,-97.1642075,drpepper,5168.926
ZPL302744F,32.67516,-97.035212,drpepper,4269.14
ZPL3027465,34.0011248,-84.0823039,coke,0
ZPL3027470,32.6607237,-97.2785574,drpepper,4456.18
ZPL302749Q,34.0920606,-84.2766777,coke,0
ZPL302751N,33.8225943,-84.3705695,coke,0
ZPL3027553,34.1749755,-119.2260831,fanta,4686.395
ZPL3027641,34.1749755,-119.2260831,fanta,5253.844
ZPL3027724,33.789101,-117.9078643,fanta,5947.03
ZPL3027812,34.859066,-82.266932,drpepper,4918.392
ZPL3027883,33.50511,-84.23589,fanta,4683.807
ZPL302792Q,32.6636384,-97.1333456,drpepper,5246.157
ZPL3027966,30.4728006,-87.2086632,coke,0
ZPL302800E,33.8418272,-84.5055954,fanta,1754.093
ZPL3028024,29.6251194,-82.3781642,drpepper,4109.991
ZPL302803Z,28.597286,-81.211373,drpepper,4510.417
ZPL302805P,30.1658791,-81.7457704,coke,0
ZPL302806K,34.0129562,-117.3393709,drpepper,4980.071
ZPL302807F,33.5053668,-117.1504494,drpepper,5224.544
ZPL3028107,33.813242,-117.9193783,coke,0
ZPL3028112,30.260578,-81.526718,drpepper,4569.53
ZPL302812X,33.6293405,-117.7251433,coke,0
ZPL302814N,33.858455,-118.0277352,drpepper,4109.567
ZPL3028178,33.6293405,-117.7251433,coke,0
ZPL302819Y,41.888384,-87.80321,coke,0
ZPL3028200,30.059389,-81.514056,drpepper,3906.246
ZPL302822Q,33.8324511,-117.8358741,coke,0
ZPL302823L,34.2551322,-84.4817069,drpepper,4847.809
ZPL302825B,30.4299047,-81.661264,fanta,2138.193
ZPL3028266,30.6401065,-81.4584492,drpepper,4271.393
ZPL302828W,30.1652645,-81.602908,drpepper,4367.898
ZPL302832J,41.7711619,-88.147592,coke,0
ZPL302833E,41.925232,-87.640598,coke,0
ZPL3028354,30.342087,-81.712424,coke,0
ZPL302836Z,30.254608,-81.3897417,drpepper,3464.596
ZPL302841H,41.7711619,-88.147592,fanta,2027.068
ZPL302842C,41.6027926,-87.8528037,coke,0
ZPL3028437,29.65243,-82.3410169,drpepper,3661.717
ZPL302850F,33.9474826,-84.3354066,fanta,2373.647
ZPL302851A,30.1610063,-97.7905902,drpepper,6350.65
ZPL3028525,42.0803828,-87.7561735,coke,0
ZPL302858B,42.0803828,-87.7561735,coke,0
ZPL3028608,38.7675976,-77.4848603,fanta,2290.274
ZPL3028613,32.5458711,-84.9459212,fanta,2754.305
ZPL302862Y,30.263526,-97.75804,drpepper,6490.713
ZPL302865J,30.3179121,-81.5578799,fanta,2428.007
ZPL302866E,36.0549288,-115.1691493,fanta,3094.126
ZPL3028679,35.3835684,-119.1227809,coke,0
ZPL302871W,41.925232,-87.640598,coke,0
ZPL302874H,36.961204,-122.0436395,fanta,2464.917
ZPL302875C,34.0489028,-84.310892,coke,0
ZPL3028767,30.264441,-81.556111,coke,0
ZPL302878X,30.187205,-81.7394675,coke,0
ZPL302888Q,39.1426256,-121.6470052,drpepper,5411.585
ZPL302892D,30.0415272,-95.6053728,drpepper,4612.805
ZPL3028938,41.888384,-87.80321,coke,0
ZPL3028943,38.4231487,-121.4155059,fanta,3249.783
ZPL302895Y,33.693028,-84.094447,fanta,3261.426
ZPL302896T,35.3344124,-119.0767608,coke,0
ZPL302898J,33.379618,-111.757045,drpepper,8573.207
ZPL302899E,30.120009,-81.624079,fanta,3014.718
ZPL3029001,41.6027926,-87.8528037,coke,0
ZPL302901W,35.3344124,-119.0767608,fanta,2334.441
ZPL302903M,30.263526,-97.75804,drpepper,5182.262
ZPL302904H,34.6975688,-118.1433966,coke,0
ZPL302905C,30.400269,-97.7041533,coke,0
ZPL302908X,30.2818735,-97.7419635,drpepper,5948.701
ZPL302911P,33.9815169,-84.0791845,fanta,3058.017
ZPL302913F,30.382951,-97.723594,fanta,3057.116
ZPL302914A,30.0222912,-90.2390285,fanta,2298.845
ZPL3029155,37.340291,-121.903782,fanta,3680.146
ZPL3029160,32.9131435,-97.3142641,coke,0
ZPL302918Q,33.9815169,-84.0791845,fanta,3911.852
ZPL302919L,35.139208,-80.9222255,coke,0
ZPL302920N,33.9815169,-84.0791845,fanta,4402.041
ZPL302922D,33.9815169,-84.0791845,fanta,2577.711
ZPL3029238,33.0478802,-117.2608339,coke,0
ZPL3029243,30.4447438,-97.7864275,drpepper,4420.369
ZPL302925Y,47.6422673,-122.1263574,coke,0
ZPL302926T,34.1382835,-118.3533173,fanta,6169.137
ZPL302928J,33.9815169,-84.0791845,fanta,2305.799
ZPL302930G,30.736467,-86.5654477,drpepper,4751.575
ZPL302935R,38.8227128,-77.1608778,fanta,1995.824
ZPL302936M,30.5231309,-97.8270261,drpepper,4747.854
ZPL302937H,36.3176172,-95.6282862,drpepper,8954.48
ZPL302938C,33.1877625,-85.0261394,drpepper,7918.382
ZPL3029397,38.7718433,-77.1352643,fanta,2210.456
ZPL3029409,41.4915974,-72.0914563,coke,0
ZPL3029414,30.320185,-81.467713,drpepper,4400.455
ZPL302942Z,30.2611477,-97.758007,fanta,2884.627
ZPL302944P,32.7484882,-117.1587211,coke,0
ZPL302945K,30.284544,-81.729768,coke,0
ZPL302946F,30.3558297,-97.7306381,fanta,2264.039
ZPL302947A,33.4780567,-111.9865351,coke,0
ZPL3029485,33.649389,-83.9961,fanta,3642.382
ZPL302951X,33.5217823,-117.1572946,drpepper,4672.497
ZPL302953N,38.7498634,-77.0834951,fanta,1931.043
ZPL302955D,35.225378,-80.841961,coke,0
ZPL3029573,30.1621945,-97.789147,fanta,3056.526
ZPL302958Y,33.1835238,-117.3286792,drpepper,3574.096
ZPL302959T,30.0415272,-95.6053728,drpepper,3938.304
ZPL302961Q,29.281626,-81.066997,drpepper,5149.411
ZPL302962L,34.1074348,-117.6319753,drpepper,4843.835
ZPL302964B,30.475822,-84.297597,coke,0
ZPL3029656,33.4475173,-112.0742715,coke,0
ZPL302967W,33.9238693,-117.9683676,drpepper,4212.227
ZPL302969M,26.3425762,-81.8085308,drpepper,6798.961
ZPL302972E,32.7484882,-117.1587211,coke,0
ZPL3029739,33.6654805,-112.2018754,drpepper,8325.818
ZPL3029744,34.047904,-117.3110906,drpepper,4443.503
ZPL302975Z,33.834574,-117.838403,coke,0
ZPL302977P,33.565089,-85.075406,drpepper,4694.107
ZPL302979F,40.6256498,-111.8518763,dietcoke,4701.299
ZPL302981C,33.1919929,-117.273971,coke,0
ZPL3029832,32.337568,-86.1800559,fanta,3307.638
ZPL302984X,30.235344,-81.694794,coke,0
ZPL302986N,30.3231932,-81.3979231,coke,0
ZPL3029898,38.898442,-77.44479,coke,0
ZPL302990A,33.31898,-111.97993,coke,0
ZPL3029920,33.31898,-111.97993,coke,0
ZPL302995L,40.2733761,-111.6821492,drpepper,8802.109
ZPL302996G,30.278488,-81.602105,drpepper,4174.8
ZPL302997B,32.6908317,-117.1279995,coke,0
ZPL3029986,39.49606,-76.655667,dietcoke,5548.821
ZPL3029991,28.1279814,-82.3689763,fanta,2818.087
ZPL303000T,34.0071567,-118.1502908,fanta,2097.774
ZPL303002J,32.90974,-96.959489,drpepper,5148.548
ZPL303003E,30.3878732,-97.6474507,fanta,4239.305
ZPL3030049,47.7913182,-122.217483,coke,0
ZPL3030054,34.0832919,-118.3868974,dietcoke,3385.095
ZPL303006Z,30.2880905,-81.4035794,coke,0
ZPL303008P,44.9119504,-123.0444103,fanta,1780.606
ZPL303009K,33.6499173,-117.8387579,coke,0
ZPL303010M,47.7913182,-122.217483,fanta,2074.495
ZPL303011H,36.115558,-115.3001784,drpepper,4292.758
ZPL303012C,34.093064,-84.2410585,coke,0
ZPL3030137,36.103712,-115.1726248,coke,0
ZPL303017N,44.9119504,-123.0444103,fanta,2224.874
ZPL303019D,26.232064,-80.127252,coke,0
ZPL303021A,39.6240213,-105.018853,coke,0
ZPL3030225,34.0683504,-117.3364502,drpepper,4042.752
ZPL3030230,34.103166,-117.30002,drpepper,4810.679
ZPL303025Q,27.9298487,-82.5066376,drpepper,5679.1
ZPL303026L,37.991711,-122.30119,fanta,5296.558
ZPL303027G,29.177678,-81.080558,coke,0
ZPL3030296,48.4495976,-122.3381985,fanta,1910.94
ZPL3030313,48.4495976,-122.3381985,fanta,2529.177
ZPL303032Y,33.9408771,-117.2273687,coke,0
ZPL303033T,40.557916,-111.936891,fanta,3545.483
ZPL303035J,39.3543873,-84.3694138,dietcoke,3933.151
ZPL303036E,42.0846075,-87.9342029,dietcoke,6268.918
ZPL3030379,39.49606,-76.655667,coke,0
ZPL3030384,35.383973,-119.098376,fanta,2323.402
ZPL303039Z,41.335363,-73.082921,coke,0
ZPL3030401,33.495437,-112.019776,drpepper,6075.989
ZPL303041W,38.7498634,-77.0834951,fanta,2054.264
ZPL303042R,42.0846075,-87.9342029,fanta,2224.643
ZPL303043M,42.0846075,-87.9342029,coke,0
ZPL303044H,30.303145,-81.758003,fanta,2053.766
ZPL3030467,30.189611,-81.5525509,fanta,2209.38
ZPL303048X,30.118749,-81.62482,drpepper,4134.485
ZPL303051P,33.1418708,-117.1917678,coke,0
ZPL303052K,38.2596444,-122.058963,fanta,4332.212
ZPL303053F,30.2206826,-81.5835271,coke,0
ZPL303054A,30.2483877,-81.7462443,fanta,1942.925
ZPL3030555,30.219948,-81.551041,fanta,1967.635
ZPL3030560,30.320878,-81.460163,coke,0
ZPL303058Q,29.8439702,-81.2688507,drpepper,4523.333
ZPL303059L,30.4538208,-97.6033655,drpepper,3852.066
ZPL303060N,30.47525,-84.2360719,dietcoke,3742.577
ZPL303062D,38.8227128,-77.1608778,coke,0
ZPL3030638,30.3761034,-97.6730962,fanta,2429.063
ZPL3030643,38.898442,-77.44479,coke,0
ZPL303066T,41.9689669,-71.3036405,fanta,3075.798
ZPL303068J,40.6223666,-111.8626424,dietcoke,6969.939
ZPL303069E,35.9859124,-86.5468036,drpepper,6666.893
ZPL303070G,37.3836941,-121.9501925,coke,0
ZPL303071B,33.6858673,-117.2080598,coke,0
ZPL3030726,32.8420807,-116.7025175,coke,0
ZPL3030731,41.335363,-73.082921,coke,0
ZPL303074W,45.6657738,-122.5574298,coke,0
ZPL303075R,34.2732839,-118.77072,coke,0
ZPL303076M,33.1418708,-117.1917678,coke,0
ZPL303077H,39.4184729,-77.4529093,fanta,2007.315
ZPL303078C,30.0415272,-95.6053728,coke,0
ZPL3030797,28.368986,-81.5207269,coke,9242.763
ZPL3030809,36.0786511,-115.2417425,drpepper,5024.731
ZPL3030814,33.6499173,-117.8387579,coke,0
ZPL303082Z,38.0057098,-121.8393893,fanta,5269.35
ZPL303084P,34.2732839,-118.77072,drpepper,4332.124
ZPL303085K,37.9449012,-122.0566316,fanta,3774.671
ZPL303086F,39.4271042,-104.9021999,coke,0
ZPL303087A,37.5022044,-122.2463341,fanta,5637.156
ZPL3030885,45.5279384,-122.8674701,coke,0
ZPL3030890,34.4173855,-118.4568992,fanta,2346.158
ZPL3030902,29.556109,-95.3784962,drpepper,3736.78
ZPL303091X,32.2205202,-110.8227586,drpepper,5293.333
ZPL303093N,32.539679,-84.96909,coke,0
ZPL303095D,34.1382835,-118.3533173,fanta,5150.8
ZPL3030968,32.8688403,-117.2140891,fanta,2135.89
ZPL3030973,25.985941,-80.1501119,coke,0
ZPL303098Y,30.304674,-81.6554139,drpepper,4884.47
ZPL303099T,30.594309,-97.413212,drpepper,4839.354
ZPL303100G,32.8688403,-117.2140891,coke,0
ZPL303101B,33.4523435,-111.8961555,dietcoke,9043.144
ZPL3031026,32.736511,-117.21653,fanta,1900.975
ZPL303104W,37.4344304,-121.9002937,fanta,2923.999
ZPL303105R,29.283463,-81.036239,coke,0
ZPL303107H,34.4221211,-118.5375742,fanta,3397.582
ZPL303108C,33.8787692,-118.2181928,fanta,4905.816
ZPL3031109,45.90781,-122.739031,coke,0
ZPL303116F,38.9215801,-76.8504198,coke,0
ZPL303117A,30.5119943,-90.4223615,coke,0
ZPL3031185,41.3929969,-73.5222473,fanta,1971.528
ZPL3031190,33.8201296,-84.388335,coke,0
ZPL303121X,45.5279384,-122.8674701,coke,0
ZPL303123N,29.7601927,-95.3693896,drpepper,3783.481
ZPL303125D,33.503972,-84.235289,drpepper,4644.106
ZPL3031268,30.281065,-81.718949,drpepper,4365.703
ZPL3031273,37.5895155,-122.0197119,fanta,3570.541
ZPL303128Y,36.1253148,-115.2463595,fanta,3302.441
ZPL303131Q,33.4475173,-112.0742715,coke,0
ZPL303132L,40.017313,-105.2542048,dietcoke,4192.871
ZPL3031356,41.9406893,-87.6442924,coke,0
ZPL303137W,30.304541,-97.662034,fanta,6638.409
ZPL303139M,34.1355582,-116.0541689,drpepper,7291.565
ZPL303141J,37.3894504,-121.9792059,coke,0
ZPL303142E,37.339188,-121.841884,fanta,4335.527
ZPL3031439,32.539679,-84.96909,coke,0
ZPL3031444,30.1005336,-81.7824613,drpepper,4301.889
ZPL303145Z,37.9612956,-121.7336778,fanta,4297.316
ZPL303147P,38.5895129,-121.55112,fanta,2308.829
ZPL303148K,28.6611089,-81.3656242,coke,0
ZPL303151C,45.90781,-122.739031,coke,0
ZPL3031527,38.9215801,-76.8504198,fanta,2220.825
ZPL3031532,25.993161,-80.206475,fanta,1926.579
ZPL303156N,42.0556549,-88.0452401,dietcoke,3556.478
ZPL303160A,37.3782315,-121.9022143,fanta,3117.627
ZPL3031615,45.6386904,-122.6472488,coke,0
ZPL3031620,30.1967366,-81.8305749,fanta,3119.856
ZPL303164Q,30.4834917,-90.4568869,drpepper,4724.955
ZPL303165L,38.818906,-76.89142,fanta,11154.162
ZPL303167B,45.530993,-122.6619263,coke,0
ZPL3031686,45.530993,-122.6619263,fanta,1996.517
ZPL3031691,45.6386904,-122.6472488,coke,0
ZPL303171Y,40.5638586,-111.890511,dietcoke,5006.593
ZPL303172T,30.2995731,-97.7184377,fanta,2376.341
ZPL303174J,33.6422669,-84.01525,fanta,2549.186
ZPL3031769,38.977875,-76.486324,fanta,2436.995
ZPL3031774,33.6344757,-117.7103594,drpepper,3721.437
ZPL303178Z,28.4772466,-81.4735539,coke,0
ZPL303180W,30.497692,-97.614413,fanta,2915.917
ZPL303182M,41.636254,-72.873748,fanta,3697.311
ZPL303184C,30.394753,-90.0910436,coke,0
ZPL3031857,30.4894785,-97.6783831,drpepper,4422.37
ZPL3031862,28.4772466,-81.4735539,coke,0
ZPL303187X,35.362866,-97.5305929,drpepper,6393.562
ZPL303189N,27.9604714,-82.7269265,drpepper,5213.75
ZPL303190P,38.6627119,-121.307885,coke,0
ZPL303191K,41.6777172,-71.1642993,fanta,2352.674
ZPL303192F,40.919998,-111.893192,dietcoke,8143.598
ZPL303193A,30.400269,-97.7041533,coke,0
ZPL3031945,28.4772466,-81.4735539,coke,0
ZPL3031950,32.6452523,-116.9967974,fanta,2822.677
ZPL303197Q,30.6178251,-96.3223764,drpepper,8287.073
ZPL303198L,30.1801811,-82.680169,drpepper,5754.696
ZPL303199G,41.9406893,-87.6442924,coke,0
ZPL303202T,33.533018,-81.723934,drpepper,4536.213
ZPL303204J,33.4780567,-111.9865351,coke,0
ZPL303205E,30.0156724,-90.1802989,coke,0
ZPL3032069,26.188402,-80.252658,coke,0
ZPL3032074,29.9402422,-90.1010835,fanta,2854.734
ZPL303208Z,32.797763,-117.251399,coke,0
ZPL303209U,33.0478802,-117.2608339,coke,0
ZPL303210W,28.553482,-81.353123,coke,0
ZPL303212M,39.7525234,-105.0017552,coke,0
ZPL303214C,26.011391,-80.163077,coke,0
ZPL3032157,30.290273,-97.741758,drpepper,6461.489
ZPL3032162,30.8462,-83.3169,coke,0
ZPL303217X,30.2678319,-81.3895794,drpepper,3823.542
ZPL303219N,30.0415272,-95.6053728,drpepper,5851.191
ZPL303221K,32.736511,-117.21653,coke,0
ZPL303222F,34.036149,-84.680698,drpepper,4581.534
ZPL303223A,29.875775,-90.048653,fanta,1838.97
ZPL3032245,25.9051567,-97.4649379,fanta,4966.898
ZPL303227Q,46.7891922,-123.0104822,coke,0
ZPL303231D,29.961514,-90.1146354,fanta,1957.71
ZPL3032333,32.797763,-117.251399,coke,0
ZPL303234Y,37.5031911,-121.9755818,fanta,4490.936
ZPL303235T,47.5432581,-122.0497473,fanta,2207.966
ZPL303237J,29.5808082,-90.6926115,coke,0
ZPL303238E,42.027577,-71.22792,fanta,3021.789
ZPL303240B,26.1951061,-98.2895833,drpepper,16063.04
ZPL3032416,47.5432581,-122.0497473,fanta,1978.893
ZPL3032421,40.919998,-111.893192,dietcoke,7901.056
ZPL303243W,38.1328519,-122.2217417,fanta,5468.15
ZPL303245M,34.1099382,-117.571717,drpepper,6010.111
ZPL303246H,39.7579121,-104.9011377,coke,0
ZPL303247C,33.565089,-85.075406,coke,0
ZPL3032487,34.1099382,-117.571717,drpepper,5830.155
ZPL3032492,29.608338,-98.599675,drpepper,5384.075
ZPL3032504,35.3203938,-119.0917576,drpepper,11737.65
ZPL303251Z,34.0284776,-84.4229794,fanta,2309.554
ZPL303254K,30.0415272,-95.6053728,coke,0
ZPL303255F,35.2225668,-97.4394777,drpepper,7181.492
ZPL303256A,29.608338,-98.599675,drpepper,4286.574
ZPL3032575,36.0608745,-95.8204419,coke,0
ZPL3032580,39.608656,-105.1464871,coke,0
ZPL303262N,28.5395209,-81.4743799,coke,0
ZPL303264D,29.8925289,-90.4005523,fanta,1952.671
ZPL3032658,28.368986,-81.5207269,coke,0
ZPL303270Q,29.608338,-98.599675,drpepper,6421.678
ZPL303272G,40.6631362,-73.9611595,fanta,7501.557
ZPL3032746,30.0415272,-95.6053728,drpepper,3610.399
ZPL3032751,26.219907,-81.772495,coke,0
ZPL303276W,29.608338,-98.599675,drpepper,6074.697
ZPL303277R,41.804709,-71.338469,fanta,2984.772
ZPL303278M,30.1113009,-97.4165227,drpepper,7744.429
ZPL303279H,29.608338,-98.599675,drpepper,4248.434
ZPL3032829,30.193382,-97.778018,fanta,3308.355
ZPL3032834,40.6886905,-111.8714021,dietcoke,5367.332
ZPL303286P,39.5340952,-104.791791,coke,0
ZPL303290C,35.0295785,-97.9366621,drpepper,7353.892
ZPL3032917,28.368986,-81.5207269,fanta,4279.551
ZPL3032922,26.2301371,-98.2254918,fanta,7166.554
ZPL303293X,29.044395,-81.303605,fanta,2586.197
ZPL303295N,34.042165,-84.3398457,coke,0
ZPL3032988,29.608338,-98.599675,drpepper,6165.058
ZPL3032993,29.608338,-98.599675,drpepper,4736.672
ZPL303301L,34.1428243,-118.2572728,fanta,1825.791
ZPL303302G,28.368986,-81.5207269,fanta,3402.573
ZPL3033046,30.447352,-86.639822,drpepper,4991.252
ZPL303306W,39.773307,-104.7988376,coke,0
ZPL303307R,29.608338,-98.599675,drpepper,6422.674
ZPL303308M,29.608338,-98.599675,drpepper,3855.919
ZPL303309H,29.7371301,-95.5689392,coke,0
ZPL303310J,28.4811077,-81.3095322,coke,0
ZPL303311E,29.608338,-98.599675,drpepper,6448.58
ZPL3033129,34.1428243,-118.2572728,fanta,2705.25
ZPL3033134,28.7513601,-81.3586892,drpepper,4294.242
ZPL303314Z,28.368986,-81.5207269,fanta,2289.681
ZPL303317K,28.368986,-81.5207269,coke,16534.539
ZPL303318F,34.4042644,-118.4645149,coke,0
ZPL303319A,26.306152,-98.189665,drpepper,14855.346
ZPL3033217,29.608338,-98.599675,drpepper,7715.359
ZPL3033222,33.4462031,-86.7915651,fanta,2217.886
ZPL303323X,26.099072,-80.1307081,coke,0
ZPL303325N,37.322582,-122.016535,fanta,2606.204
ZPL303327D,34.716529,-82.2539714,coke,0
ZPL3033293,36.0614832,-95.7763721,drpepper,6868.003
ZPL3033305,34.716529,-82.2539714,coke,0
ZPL303333Q,37.2867181,-121.9464636,coke,0
ZPL303335G,32.539679,-84.96909,coke,0
ZPL3033376,26.5882928,-80.1492153,coke,0
ZPL3033381,30.4607124,-84.3611707,drpepper,3911.552
ZPL303339W,39.6784788,-104.9684001,coke,0
ZPL303340Y,34.0470558,-118.3361632,fanta,5556.377
ZPL303341T,34.1428243,-118.2572728,fanta,2627.741
ZPL303344E,28.5128827,-81.3730962,coke,0
ZPL3033459,34.0762925,-118.3817144,coke,0
ZPL3033464,33.8818501,-117.6124801,drpepper,4219.597
ZPL303351M,37.2867181,-121.9464636,coke,0
ZPL303356X,26.4860054,-81.7867343,coke,0
ZPL303357S,34.1428243,-118.2572728,fanta,2076.386
ZPL303358N,36.090293,-96.012492,drpepper,6113.048
ZPL303361F,29.2893214,-94.839701,fanta,2903.826
ZPL3033635,33.639002,-112.353159,coke,0
ZPL3033640,38.7213105,-121.290854,drpepper,6487.233
ZPL303366Q,28.4937264,-81.4610903,fanta,2331.676
ZPL303370D,29.7439372,-95.7715683,fanta,3292.978
ZPL3033723,33.945695,-83.406758,coke,0
ZPL303377E,29.030375,-81.303172,drpepper,4133.478
ZPL3033789,36.1665949,-115.0619887,fanta,4708.181
ZPL3033794,39.6117952,-104.7514762,coke,0
ZPL3033806,33.639002,-112.353159,coke,0
ZPL3033811,33.876802,-84.0129928,drpepper,4548.391
ZPL303382W,34.8251632,-82.3949048,drpepper,4472.762
ZPL303383R,28.4500288,-81.4858541,coke,0
ZPL303385H,30.1801707,-82.6800591,drpepper,4405.001
ZPL303386C,36.0920321,-80.2790266,drpepper,5126.097
ZPL3033877,33.9459,-83.4105,drpepper,4176.614
ZPL303389X,35.565282,-97.534453,coke,0
ZPL303390Z,33.0872059,-96.8064331,coke,0
ZPL303392P,36.8498473,-119.7746589,coke,0
ZPL303393K,34.070613,-117.2094193,fanta,1776.223
ZPL303395A,34.9442065,-80.9780949,drpepper,5378.942
ZPL3033965,40.424063,-111.884926,fanta,4419.958
ZPL3033970,33.9740119,-117.5438074,coke,0
ZPL303399Q,32.3824389,-86.1879255,fanta,3504.01
ZPL3034023,33.5025088,-111.9290233,coke,0
ZPL303403Y,34.9355172,-82.2806025,drpepper,5992.226
ZPL303406J,47.3744783,-122.2029043,coke,0
ZPL303407E,33.900105,-117.562134,coke,0
ZPL3034089,36.0028159,-115.1104821,coke,0
ZPL3034094,37.6803258,-121.7459873,coke,0
ZPL3034106,36.1965763,-115.2507151,drpepper,7973.978
ZPL303412W,29.7552916,-95.7521653,fanta,1793.103
ZPL303413R,41.8911768,-88.3435137,coke,0
ZPL303414M,33.9740119,-117.5438074,coke,0
ZPL3034177,40.424063,-111.884926,fanta,4431.94
ZPL303419X,33.7215575,-117.8266671,dietcoke,3524.99
ZPL303420Z,29.8696051,-95.644732,fanta,3747.164
ZPL303422P,36.31215,-119.3131934,drpepper,7453.563
ZPL303423K,40.017313,-105.2542048,dietcoke,4117.897
ZPL303424F,35.863871,-83.547396,drpepper,6457.48
ZPL3034265,34.070613,-117.2094193,dietcoke,4123.208
ZPL3034270,32.4941987,-86.3989907,drpepper,5129.368
ZPL303431N,33.4238154,-111.9403088,coke,0
ZPL303432I,26.1935816,-98.2076368,drpepper,14114.784
ZPL3034353,27.9375678,-82.3148346,drpepper,4261.596
ZPL303436Y,33.6268667,-111.9249095,coke,0
ZPL303437T,36.0028159,-115.1104821,dietcoke,4162.49
ZPL303439J,29.676314,-95.1231593,drpepper,5903.954
ZPL303440L,47.744416,-117.406032,coke,0
